listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
5 Bedroom Detached Duplex,7000000,6,5,6,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-2GSMD,04 Jun 2022
3 Bedroom Flat,500000,4,3,4,"Opere, Podo",Ibadan,Oyo,Newly Built,08147747114,7,https://www.propertypro.ng/property/3-bedroom-house-for-rent-opere-podo-ibadan-oyo-8GRPA,29 May 2022
2 Bedroom Flat,650000,3,2,3,Anfani Ringroad Ibadan Ring Rd,Ibadan,Oyo,Newly Built,08147747114,11,https://www.propertypro.ng/property/2-bedroom-house-for-rent-anfani-ringroad-ibadan-ring-rd-ibadan-oyo-4GRPB,29 May 2022
3bedroom Semi Detached Duplex,3000000,4,3,4,Sangotedo,Ajah,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-sangotedo-ajah-lagos-6GPKJ,15 May 2022
Fully Serviced 2 Bedroom Flat,4500000,2,2,3,Parkview Estate Parkview Estate,Ikoyi,Lagos,Newly Built,08168064058,11,https://www.propertypro.ng/property/2-bedroom-house-for-rent-parkview-estate-parkview-estate-ikoyi-lagos-1GRHB,26 May 2022
5 Bedroom Detached Duplex,6000000,6,5,6,"Chevron Drive, Few Minutes Drive From Atlantic Mall Opposite Uba And Bera Estate Gate Chevron",Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-chevron-drive-few-minutes-drive-from-atlantic-mall-opposite-uba-and-bera-estate-gate-chevron-lekki-lagos-9GSPM,05 Jun 2022
4 Bedroom Semi Detached Duplex,7000000,5,4,5,Osapa London,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-8GSPM,05 Jun 2022
5 Bedroom Fully Detached Duplex,7000000,6,5,6,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-9GSNG,04 Jun 2022
5 Bedroom Detached Duplex,7000000,6,5,6,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-7GSMC,04 Jun 2022
Brand New 4 Bedroom Flat,10000000,5,4,5,Banana Island Road,Ikoyi,Lagos,Newly Built,09035137760,8,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-road-ikoyi-lagos-9GUKV,16 Jun 2022
