listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
6 Plots Of Land,12000000, , , ,,Sangotedo,Lagos,,08036411790,8,https://www.propertypro.ng/property/land-for-sale-sangotedo-lagos-0GSYC
Land For Sale At Sangotedo,15000000, , , ,Verified And Secured Land At Sangotedo,Ajah,Lagos,,08036411790,8,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-land-at-sangotedo-ajah-lagos-6GSYC
Affordable 3 Bedroom Bungalow,26500000,0,3,0,Awoyaya,Ajah,Lagos,ServicedNewly Built,08036411790,23,https://www.propertypro.ng/property/3-bedroom-house-for-sale-awoyaya-ajah-lagos-6GTVB
Land For Sale At Abijo,15000000, , , ,Verified And Secured Land At Abijo,Ajah,Lagos,Serviced,08036411790,23,https://www.propertypro.ng/property/land-for-sale-verified-and-secured-land-at-abijo-ajah-lagos-2GUFE
6units Of 4bedroom Terrace House,125000000,0,0,0,Agape Beach Estate Ilasan,Lekki,Lagos,,07049502652,23,https://www.propertypro.ng/property/house-for-sale-agape-beach-estate-ilasan-lekki-lagos-2GMZE
550sqm Land,45000000,0,0,0,Comfort Lagoon Estate Ogudu Orike,Ogudu,Lagos,,07049502652,23,https://www.propertypro.ng/property/land-for-sale-comfort-lagoon-estate-ogudu-orike-ogudu-lagos-4GMZE
7units Of 2bedroom Flat,50000000,0,0,0,Ilasan,Lekki,Lagos,,07049502652,23,https://www.propertypro.ng/property/flat-apartment-for-sale-ilasan-lekki-lagos-8GPZQ
Plot Of Land At Orchid Road,50000000, , , ,Orchid Road Chevron,Lekki,Lagos,,08060623971,23,https://www.propertypro.ng/property/land-for-sale-orchid-road-chevron-lekki-lagos-0GVDJ
Massive Elegant 4 Bedroom Semi Detached Duplex,260000000,3,4,4,Adebayo Doherty Road (road 14) Lekki Phase 1,Lekki,Lagos,,08059149400,23,https://www.propertypro.ng/property/4-bedroom-house-for-sale-adebayo-doherty-road-road-14-lekki-phase-1-lekki-lagos-3EXQR
Luxury 4 Bedroom Terraced Duplex,350000000,4,4,5,Off Macpherson Road Old Ikoyi,Ikoyi,Lagos,,08059149400,23,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-macpherson-road-old-ikoyi-ikoyi-lagos-7GATR
6 Bedroom Fully Detached Duplex,2000000000,6,6,6,Along Queens Drive Road Off Bourdillion Road Bourdillon,Ikoyi,Lagos,Newly Built,09044442244,23,https://www.propertypro.ng/property/6-bedroom-house-for-sale-along-queens-drive-road-off-bourdillion-road-bourdillon-ikoyi-lagos-4GRUM
6 Bedroom Fully Detached Duplex,1800000000,7,6,7,Off Queens Drive Bourdillion Road Bourdillon,Ikoyi,Lagos,Newly Built,09044442244,23,https://www.propertypro.ng/property/6-bedroom-house-for-sale-off-queens-drive-bourdillion-road-bourdillon-ikoyi-lagos-1GRUN
