listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL,dateUpdated
4 Bedroom Semi Detached Duplex,45000000,5,4,5,,Ajah,Lagos,unstated,08113875325,6,https://www.propertypro.ng/property/4-bedroom-house-for-sale-atican-beach-view-estate-lekki-scheme-2-ajah-lagos-7GTBU,08 Jun 2022
2 Wings Of 5 Bedroom Semi Detached Houses With A Room Bq And A Security House,75000000, ,4, ,,Odofin,Lagos,unstated,08054797512,3,https://www.propertypro.ng/property/4-bedroom-house-for-sale-21-road-festac-town-festac-amuwo-odofin-lagos-8GGHM,22 Mar 2022
Uncompleted Detached House On 600sqm Of Land,60000000,0,0,0,,Odofin,Lagos,unstated,08054797512,2,https://www.propertypro.ng/property/house-for-sale-blessing-estate-amuwo-odofin-amuwo-odofin-lagos-7GLDF,20 Apr 2022
Bareland Measuring 1300sqm,30000000,0,0,0,,Ajah,Lagos,unstated,08054797512,1,https://www.propertypro.ng/property/land-for-sale-abijo-gra-abijo-ajah-lagos-1GMVK,04 May 2022
5 Bedroom Semi Detached Duplex,350000000,0,5,0,,Ikoyi,Lagos,unstated,08054797512,8,https://www.propertypro.ng/property/5-bedroom-house-for-sale-autograph-banana-island-ikoyi-lagos-1GQZX,25 May 2022
Serviced 4 Bedroom Maissonette,75000000,3,4,4,,Ilupeju,Lagos,unstated,08054797512,1,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ilupeju-court-off-town-planning-way-ilupeju-ilupeju-industrial-estate-ilupeju-lagos-3GRKX,27 May 2022
4 Bedroom Townhouse For Sale At Abiola Court,60000000,4,4,5,,Lekki,Lagos,unstated,08168064058,15,https://www.propertypro.ng/property/4-bedroom-house-for-sale-abiola-court-osapa-london-lekki-lagos-0GVEA,21 Jun 2022
Newly Built 4 Bedroom Fully Detached Duplex With Swimming Pool And Bq,75000000,4,4,5,Ajah,Ajah,Lagos,unstated,09034504273,29,https://www.propertypro.ng/property/4-bedroom-house-for-sale-ajah-ajah-lagos-4GJLJ,06 Apr 2022
Plot Of Land At Orchid Road,50000000, , , ,,Lekki,Lagos,unstated,08060623971,1,https://www.propertypro.ng/property/land-for-sale-orchid-road-chevron-lekki-lagos-0GVDJ,21 Jun 2022
Massive Elegant 4 Bedroom Semi Detached Duplex,260000000,3,4,4,,Lekki,Lagos,unstated,08059149400,48,https://www.propertypro.ng/property/4-bedroom-house-for-sale-adebayo-doherty-road-road-14-lekki-phase-1-lekki-lagos-3EXQR,25 Jun 2021
Luxury 4 Bedroom Terraced Duplex,350000000,4,4,5,,Ikoyi,Lagos,unstated,08059149400,54,https://www.propertypro.ng/property/4-bedroom-house-for-sale-off-macpherson-road-old-ikoyi-ikoyi-lagos-7GATR,09 Feb 2022
Ongoing 5 Bedroom House,350000000,5,5,6,,Ikoyi,Lagos,unstated,08059149400,26,https://www.propertypro.ng/property/5-bedroom-house-for-sale-the-authograph-banana-island-ikoyi-lagos-5GGAB,20 Mar 2022
6 Bedroom Fully Detached Duplex,2000000000,6,6,6,,Ikoyi,Lagos,unstated,09044442244,41,https://www.propertypro.ng/property/6-bedroom-house-for-sale-along-queens-drive-road-off-bourdillion-road-bourdillon-ikoyi-lagos-4GRUM,31 May 2022
6 Bedroom Fully Detached Duplex,1800000000,7,6,7,,Ikoyi,Lagos,unstated,09044442244,38,https://www.propertypro.ng/property/6-bedroom-house-for-sale-off-queens-drive-bourdillion-road-bourdillon-ikoyi-lagos-1GRUN,31 May 2022
