listingTitile,price,bathrooms,beds,toilets,street,city,state,status,agentContact,imagesProvided,listingURL
Furnished 2 Bedroom Apartment,3700000,2,2,3,Ikota,Lekki,Lagos,FurnishedServiced,08177766550,10,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-ikota-lekki-lagos-3GQCE
5 Bedrooms Duplex,8000000,0,0,0,Lekki County Ikota,Lekki,Lagos,,08140215129,10,https://www.propertypro.ng/property/house-for-rent-lekki-county-ikota-lekki-lagos-2GRJY
3 Bedroom Apartment,4500000,3,3,4,Osapa London,Lekki,Lagos,ServicedNewly Built,08177766550,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-osapa-london-lekki-lagos-8GPXZ
3 Bedroom Terrace Duplex,6000000,4,3,4,Lekki Phase 1,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-9GPQF
4 Bedroom Terrace Duplex,5500000,5,4,5,Osapa London,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-osapa-london-lekki-lagos-2GSMH
Spacious 5 Bedroom Detached Duplex,8000000,6,5,6,Osapa London,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-4GNGC
4 Bedroom Semi Detached Duplex,5000000,5,4,5,"Chevron. Gate, Orchid Chevron",Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-gate-orchid-chevron-lekki-lagos-5GSPP
5 Bay Warehouse,1200000000,0,0,0,,Ojo,Lagos,,08030996281,10,https://www.propertypro.ng/property/commercial-property-for-rent-ojo-lagos-4GUPB
Brand New 2 Bedroom Apartment,3000000,3,2,3,By Conservation Road Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-by-conservation-road-chevron-lekki-lagos-5GNXT
3 Bedroom Penthouse,30000000,3,3,4,Eko Pearl Eko Atlantic Victoria,Island,Lagos,Serviced,08124269637,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-eko-pearl-eko-atlantic-victoria-island-lagos-1GRGK
Fully Furnished 3 Bedroom Apartment,6000000,4,3,4,Osapa London,Lekki,Lagos,Newly Built,09035137760,12,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-osapa-london-lekki-lagos-7GQKE
4 Bedroom Semi Detached Duplex,4000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-2GSMC
Newly Build 12 Bedroom Mansion,40000000,1,1,1,Opp World Bank,Asokoro,Abuja,FurnishedServicedNewly Built,08053979149,12,https://www.propertypro.ng/property/10-bedroom-house-for-rent-opp-world-bank-asokoro-abuja-1GPCX
Newly Built 4bedroom Terrace Duplex,7000000,4,4,5,Close To Fairview School,Guzape,Abuja,ServicedNewly Built,08053979149,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-close-to-fairview-school-guzape-abuja-8GQWW
3 Bedroom Apartment,5500000,3,3,0,Parkview Estate,Ikoyi,Lagos,Serviced,08124269637,12,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-parkview-estate-ikoyi-lagos-6GPKD
Luxury 2 Bedroom Apartment + Bq+pool+gym Etc In Central Ikoyi @n7m,7000000,2,2,3,Old Ikoyi,Ikoyi,Lagos,Serviced,08124269637,12,https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-rent-old-ikoyi-ikoyi-lagos-7GNVN
5 Bedroom Terrace Duplex,4500000,6,5,6,Osapa London,Lekki,Lagos,Serviced,09035137760,12,https://www.propertypro.ng/property/5-bedroom-house-for-rent-osapa-london-lekki-lagos-1GMXX
3 Bedroom Apartment,5000000,0,0,0,Oniru Victoria,Island,Lagos,,08028761350,12,https://www.propertypro.ng/property/flat-apartment-for-rent-oniru-victoria-island-lagos-8GSDY
4 Bedroom Semi Detached Duplex,4000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-2GUCA
Furnished 5 Bedroom Detached Duplex,10000000,6,5,6,Agungi,Lekki,Lagos,Newly Built,09035137760,12,https://www.propertypro.ng/property/5-bedroom-house-for-rent-agungi-lekki-lagos-5GNMW
3 Bedroom Apartment,11000000,0,0,0,"Central Ikoyi,",Ikoyi,Lagos,,08124269637,12,https://www.propertypro.ng/property/flat-apartment-for-rent-central-ikoyi-ikoyi-lagos-2GKDZ
Fully Serviced 4 Bedroom Detached Duplex,15000000,5,4,5,Oniru Victoria,Island,Lagos,ServicedNewly Built,09035137760,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-oniru-victoria-island-lagos-0GQKF
Well Maintained 3 Bedroom Flat,13500000,3,3,3,Banana Island,Ikoyi,Lagos,Serviced,07086048604,12,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-banana-island-ikoyi-lagos-0GRWU
5 Bedroom Semi Detached Duplex,20000000,5,4,5,Off Banana Island Road,Ikoyi,Lagos,Newly Built,09035137760,12,https://www.propertypro.ng/property/4-bedroom-house-for-rent-off-banana-island-road-ikoyi-lagos-8GUKS
Bungalow,4000000,0,0,0,Mabo Street Off Ishaga Road Ojuelegba,Surulere,Lagos,,08081672062,12,https://www.propertypro.ng/property/commercial-property-for-rent-mabo-street-off-ishaga-road-ojuelegba-surulere-lagos-9GNKZ
3 Bedroom Apartment,15000000,3,3,4,Victoria Island Victoria,Island,Lagos,Serviced,08124269637,12,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-victoria-island-victoria-island-lagos-0GRRU
4 Bedroom Penthouse,7000000,4,4,5,Ikate,Lekki,Lagos,FurnishedServiced,08124269637,12,https://www.propertypro.ng/property/4-bedroom-flat-apartment-for-rent-ikate-lekki-lagos-7GMWE
3 Bedroom Apartment,15000000,0,0,0,Victoria,Island,Lagos,,08124269637,12,https://www.propertypro.ng/property/flat-apartment-for-rent-victoria-island-lagos-9GKEA
4 Bedroom Maisonette,15000000,4,4,5,Banana Island Estate Banana Island,Ikoyi,Lagos,Serviced,08124269637,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-banana-island-estate-banana-island-ikoyi-lagos-4GPSQ
4 Bedroom Tetrace Duplex,4000000,5,4,5,Chevron Toll Gate Chevron,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-chevron-lekki-lagos-1GKYR
4 Bedroom Terrace Duplex,4000000,5,4,5,"Chevron Toll Gate, Orchid Chevron",Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-chevron-toll-gate-orchid-chevron-lekki-lagos-6GTAT
4 Bedroom Tetrace Duplex,4000000,5,4,5,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-ikota-lekki-lagos-6GKYQ
2 Bedroom Apartment,6000000,3,2,3,Ikate,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/2-bedroom-house-for-rent-ikate-lekki-lagos-2GNGB
Office Space,20000000,0,0,0,Ikeja Gra,Ikeja,Lagos,,08028761350,10,https://www.propertypro.ng/property/commercial-property-for-rent-ikeja-gra-ikeja-lagos-3GSCM
5 Bedroom Detached Duplex,6000000,6,5,6,Ikota,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/5-bedroom-house-for-rent-ikota-lekki-lagos-1GMFB
Self Service 4 Bedroom Fully Detached,13000000,5,4,5,Idado,Lekki,Lagos,,07086048604,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-idado-lekki-lagos-1GRJE
6 Units Of 3 Bedroom Apartments,6000000,3,3,4,Parkview Estate,Ikoyi,Lagos,Serviced,08124269637,10,https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-rent-parkview-estate-ikoyi-lagos-0GKEJ
4 Bedroom Terrace Duplex,9000000,5,4,5,Lekki Phase 1,Lekki,Lagos,ServicedNewly Built,09035137760,10,https://www.propertypro.ng/property/4-bedroom-house-for-rent-lekki-phase-1-lekki-lagos-1GQXH
3 Bedroom Apartment,5000000,4,3,4,Ikate,Lekki,Lagos,Newly Built,09035137760,10,https://www.propertypro.ng/property/3-bedroom-house-for-rent-ikate-lekki-lagos-1GUDH
